Date,Action/State,price
"2024-04-29, "
"2020-01-28, Close, 1326.53"
"2020-01-29, Close, 1333.83"
"2020-01-30, Close, 1301.29"
"2020-01-31, Close, 1272.36"
"2020-02-03, Close, 1248.79"
"2020-02-04, Close, 1285.65"
"2020-02-05, Close, 1305.57"
"2020-02-06, Close, 1313.96"
"2020-02-07, Close, 1292.19"
"2020-02-10, Close, 1293.95"
"2020-02-11, Close, 1309.40"
"2020-02-12, Close, 1325.22"
"2020-02-13, Close, 1328.69"
"2020-02-14, Close, 1340.82"
"2020-02-17, Close, 1332.39"
"2020-02-18, Close, 1322.61"
"2020-02-19, Close, 1355.42"
"2020-02-20, Close, 1339.33"
"2020-02-24, Close, 1302.37"
"2020-02-25, Close, 1276.64"
"2020-02-26, Close, 1254.65"
"2020-02-27, Close, 1249.47"
"2020-02-28, Close, 1197.55"
"2020-03-02, Close, 1186.28"
"2020-03-03, Close, 1210.35"
"2020-03-04, Close, 1207.51"
"2020-03-05, Close, 1181.78"
"2020-03-06, Close, 1145.59"
"2020-03-09, Close, 1004.21"
"2020-03-11, Close, 1039.73"
"2020-03-12, Close, 958.11"
"2020-03-13, Close, 996.24"
"2020-03-16, Close, 915.48"
"2020-03-17, Close, 908.54"
"2020-03-18, Close, 872.94"
"2020-03-19, Close, 827.15"
"2020-03-20, Close, 917.51"
"2020-03-23, Close, 796.82"
"2020-03-24, Close, 850.31"
"2020-03-25, Close, 975.46"
"2020-03-26, Close, 961.00"
"2020-03-27, Close, 960.46"
"2020-03-30, Close, 928.77"
"2020-03-31, Close, 1003.85"
"2020-04-01, Close, 973.84"
"2020-04-03, Close, 971.14"
"2020-04-07, Close, 1087.09"
"2020-04-08, Close, 1074.52"
"2020-04-09, Close, 1099.58"
"2020-04-13, Close, 1071.81"
"2020-04-15, Close, 1036.39"
"2020-04-16, Close, 1052.80"
"2020-04-17, Close, 1103.23"
"2020-04-20, Close, 1121.07"
"2020-04-21, Close, 1115.26"
"2020-04-22, Close, 1229.05"
"2020-04-23, Close, 1235.63"
"2020-04-24, Close, 1277.18"
"2020-04-27, Close, 1288.67"
"2020-04-28, Close, 1287.23"
"2020-04-29, Close, 1286.15"
"2020-04-30, Close, 1321.35"
"2020-05-04, Close, 1293.59"
"2020-05-05, Close, 1316.53"
"2020-05-06, Close, 1316.62"
"2020-05-07, Close, 1358.26"
"2020-05-08, Close, 1407.69"
"2020-05-11, Close, 1421.21"
"2020-05-12, Close, 1333.29"
"2020-05-13, Close, 1361.58"
"2020-05-14, Close, 1306.53"
"2020-05-15, Close, 1327.87"
"2020-05-18, Close, 1310.90"
"2020-05-19, Close, 1281.92"
"2020-05-20, Close, 1304.48"
"2020-05-21, Close, 1311.35"
"2020-05-22, Close, 1302.53"
"2020-05-26, Close, 1295.70"
"2020-05-27, Close, 1315.27"
"2020-05-28, Close, 1339.56"
"2020-05-29, Close, 1332.42"
"2020-06-01, Close, 1383.32"
"2020-06-02, Close, 1397.29"
"2020-06-03, Close, 1402.70"
"2020-06-04, Close, 1437.42"
"2020-06-05, Close, 1439.14"
